edge_abs,unfillable_rate,axis,model,horizon_min,rel_spread_t
3.0,0.017097966728280962,edge_decile,tcn,15,
4.0,0.01605859654797939,edge_decile,tcn,15,
5.0,0.014510166358595195,edge_decile,tcn,15,
6.0,0.01561958455602024,edge_decile,tcn,15,
7.0,0.014417744916820702,edge_decile,tcn,15,
8.0,0.013840430693870006,edge_decile,tcn,15,
9.0,0.00656192236598891,edge_decile,tcn,15,
,0.0010286654779865588,spread_decile,tcn,15,0.0
,0.00023256895669566027,spread_decile,tcn,15,1.0
,0.0002687449610319806,spread_decile,tcn,15,2.0
,0.0002795638803466592,spread_decile,tcn,15,3.0
,0.0010378337579016888,spread_decile,tcn,15,4.0
,0.0005801087166706056,spread_decile,tcn,15,5.0
,0.0007974668699425355,spread_decile,tcn,15,6.0
,0.0005433429172986801,spread_decile,tcn,15,7.0
,0.004839580857729286,spread_decile,tcn,15,8.0
,0.18012950666739835,spread_decile,tcn,15,9.0
0.0,0.04826418289585097,edge_decile,ridge,30,
1.0,0.0403865623561896,edge_decile,ridge,30,
2.0,0.03289461573861022,edge_decile,ridge,30,
3.0,0.03044638748274275,edge_decile,ridge,30,
4.0,0.024647952139898757,edge_decile,ridge,30,
5.0,0.019199263690750114,edge_decile,ridge,30,
6.0,0.01387942936033134,edge_decile,ridge,30,
7.0,0.009240681086056144,edge_decile,ridge,30,
8.0,0.0049516797054763,edge_decile,ridge,30,
9.0,0.0018775885872066268,edge_decile,ridge,30,
,0.0010048965870057735,spread_decile,ridge,30,0.0
,0.00038757543879076466,spread_decile,ridge,30,1.0
,0.00036567750900480864,spread_decile,ridge,30,2.0
,0.0003538636321308178,spread_decile,ridge,30,3.0
,0.0013416734656876077,spread_decile,ridge,30,4.0
,0.000910974564161189,spread_decile,ridge,30,5.0
,0.000941034427655759,spread_decile,ridge,30,6.0
,0.0008413226374486402,spread_decile,ridge,30,7.0
,0.009199470671704851,spread_decile,ridge,30,8.0
,0.25421527575628655,spread_decile,ridge,30,9.0
0.0,0.03304280788915776,edge_decile,lgbm,30,
1.0,0.031951344868939524,edge_decile,lgbm,30,
2.0,0.03010964536577009,edge_decile,lgbm,30,
3.0,0.0306021929073154,edge_decile,lgbm,30,
4.0,0.02912455028267946,edge_decile,lgbm,30,
5.0,0.027753983210553366,edge_decile,lgbm,30,
6.0,0.02700445434298441,edge_decile,lgbm,30,
7.0,0.02586945348637999,edge_decile,lgbm,30,
8.0,0.019701901661812574,edge_decile,lgbm,30,
9.0,0.010000642439557145,edge_decile,lgbm,30,
,0.001099784273084895,spread_decile,lgbm,30,0.0
,0.00044328112466753916,spread_decile,lgbm,30,1.0
,0.00038800629432433014,spread_decile,lgbm,30,2.0
,0.0004996849812074996,spread_decile,lgbm,30,3.0
,0.0012190764445004938,spread_decile,lgbm,30,4.0
,0.0010759140096418447,spread_decile,lgbm,30,5.0
,0.0008913558738326277,spread_decile,lgbm,30,6.0
,0.0016640193631344074,spread_decile,lgbm,30,7.0
,0.015145767855207543,spread_decile,lgbm,30,8.0
