horizon_min,slice,n,corr_y_fixed,corr_fixed_contract,slope_contract_on_fixed,corr_y_contract,std_y,std_fixed,std_contract
5,all,683118,0.7370463521875581,0.27652850455975087,0.09404927733079385,0.12621716867072247,0.016751519311092856,0.012912447855004849,0.004329301743375774
15,all,659765,0.6996014406422222,0.4727191501288925,0.2473711897696288,0.262025664388973,0.0187000186839278,0.014716601715217261,0.0074837956544496756
15,liq_q0,165160,0.8805956059530616,0.7253614858186301,0.6846744657988645,0.7501853691615564,0.006459445825036797,0.004697609998930446,0.004433576165938358
15,liq_q1,167773,0.8699098610882614,0.6964981985513335,0.5391778474791935,0.7026286301611466,0.009645058342520272,0.007961599746257148,0.006133633410019486
15,liq_q2,173308,0.7798908601383396,0.5460401141873837,0.3211138656780232,0.37733388878976,0.014635568691981399,0.012398458003178882,0.007112450803422783
15,liq_q3,153524,0.653586843068052,0.3932965402565343,0.1823002647301407,0.09860970685653499,0.033208617314511406,0.025582356143536617,0.01062323523236694
30,all,627917,0.6958844314244803,0.6391514748454585,0.436375105975998,0.40894426007396883,0.020603760909927642,0.01686975163506123,0.011128901313987877
60,all,567808,0.7335716010405586,0.8110713847528419,0.6820963383135472,0.5979205934365933,0.025318677665705815,0.02211948065402867,0.01809984839887611
