horizon_min,model,lam_policy,theta,slippage,scope,n_decisions,n_matched,n_gated,n_fillable,pass_rate,unfillable_rate,gross_mean,entry_cost_markout_mean,entry_cost_markout_median,roundtrip_touch_net_mean,hit_rate,sum_entry_markout
5,ridge,raw,1.0,0.0,in_scope,741221,688678,468506,464798,0.6320732952790059,0.007914519771358318,0.0005100027774460614,-0.005816508550196886,-0.005054542329162359,-0.01256089098751545,0.30347376709882573,-2703.50146484375
5,ridge,raw,1.0,0.005,in_scope,741221,688678,325609,323149,0.4392873380543724,0.007555073723392166,0.0006491773528978229,-0.010950131341814995,-0.010082992725074291,-0.018036551773548126,0.22503550993504545,-3538.52392578125
5,ridge,raw,1.0,0.01,in_scope,741221,688678,228658,227006,0.30848829161613067,0.00722476362077863,0.0007136765634641051,-0.016170039772987366,-0.015149448066949844,-0.023603850975632668,0.18187184479705382,-3670.696044921875
5,ridge,raw,1.5,0.0,in_scope,741221,688678,380598,377624,0.5134743888799697,0.007814018991166533,0.0005841103265993297,-0.005717077758163214,-0.005027533508837223,-0.012511813081800938,0.3125648793508887,-2158.90576171875
5,ridge,raw,1.5,0.005,in_scope,741221,688678,263828,261794,0.35593702822774853,0.00770956835514047,0.0006617068429477513,-0.010887468233704567,-0.010048769414424896,-0.018012825399637222,0.23259127405517316,-2850.27392578125
5,ridge,raw,1.5,0.01,in_scope,741221,688678,185131,183767,0.2497649149174133,0.007367755805348645,0.0008102368446998298,-0.01599773019552231,-0.015082959085702896,-0.02345842681825161,0.1885213340806565,-2939.85498046875
5,ridge,raw,2.0,0.0,in_scope,741221,688678,308376,305911,0.4160378618522681,0.00799348846862272,0.0006398943369276822,-0.005625359248369932,-0.004979845602065325,-0.012467038817703724,0.32147585408828055,-1720.8592529296875
5,ridge,raw,2.0,0.005,in_scope,741221,688678,214112,212477,0.28886391508065745,0.007636190405021671,0.0007237219833768904,-0.010770534165203571,-0.010012451559305191,-0.01792888529598713,0.24000715371546097,-2288.49072265625
5,ridge,raw,2.0,0.01,in_scope,741221,688678,150379,149281,0.2028801126789446,0.007301551413428736,0.0008952328935265541,-0.01583700254559517,-0.015018297359347343,-0.023311464115977287,0.19422431521760974,-2364.16357421875
5,ridge,raw,1.0,0.0,out_of_scope,1291344,1291302,986936,986670,0.7642704035485509,0.0002695210226397659,-0.00026440294459462166,-0.013572252355515957,-0.01041312888264656,-0.02898130938410759,0.3375566298762504,-13391.333984375
5,ridge,raw,1.0,0.005,out_of_scope,1291344,1291302,865093,864856,0.66991676888575,0.00027395898475655216,-0.00036299292696639895,-0.018898656591773033,-0.015722747892141342,-0.03458311781287193,0.2764321459294958,-16344.6162109375
5,ridge,raw,1.0,0.01,out_of_scope,1291344,1291302,751941,751739,0.5822933315987064,0.0002686380979358753,-0.0004963048850186169,-0.02428395487368107,-0.021058209240436554,-0.040240805596113205,0.2294227118720726,-18255.1953125
5,ridge,raw,1.5,0.0,out_of_scope,1291344,1291302,846043,845829,0.6551646966261507,0.00025294222634074154,-0.0003625983081292361,-0.013324330560863018,-0.010206632316112518,-0.028484446927905083,0.33921631913779265,-11270.10546875
5,ridge,raw,1.5,0.005,out_of_scope,1291344,1291302,732005,731826,0.5668551524613116,0.0002445338488125081,-0.000492698687594384,-0.01867440529167652,-0.015494120307266712,-0.03409672528505325,0.2768936878438317,-13666.4150390625
5,ridge,raw,1.5,0.01,out_of_scope,1291344,1291302,627606,627453,0.4860099245437312,0.00024378352023403217,-0.0006276332424022257,-0.024044804275035858,-0.020792990922927856,-0.039729055017232895,0.22948651134029163,-15086.984375
5,ridge,raw,2.0,0.0,out_of_scope,1291344,1291302,716231,716071,0.5546399719981663,0.00022339161527496016,-0.0004957847995683551,-0.013094507157802582,-0.009957455098628998,-0.027969850227236748,0.34077626380624265,-9376.5966796875
5,ridge,raw,2.0,0.005,out_of_scope,1291344,1291302,611419,611278,0.4734749222515457,0.00023061108666888009,-0.0006577671156264842,-0.018473563715815544,-0.01524989865720272,-0.03362536057829857,0.2773271735609657,-11292.4833984375
5,ridge,raw,2.0,0.01,out_of_scope,1291344,1291302,517222,517107,0.40052999045955223,0.0002223416637343346,-0.0007941471412777901,-0.023849384859204292,-0.020529936999082565,-0.03928964212536812,0.22949989073828048,-12332.68359375
5,ridge,wf,1.0,0.0,in_scope,741221,688678,426387,423051,0.5752494869951067,0.007823878307734523,0.0005508349859155715,-0.005773166194558144,-0.005046116188168526,-0.012548104859888554,0.3077477656358217,-2442.34375
5,ridge,wf,1.0,0.005,in_scope,741221,688678,272873,270815,0.3681398665175433,0.007541970073990464,0.000668071152176708,-0.010976390913128853,-0.010096072219312191,-0.01816600188612938,0.23261266916529735,-2972.5712890625
5,ridge,wf,1.0,0.01,in_scope,741221,688678,178273,177026,0.24051261364694201,0.006994889859933922,0.0008638409781269729,-0.016125980764627457,-0.015124903991818428,-0.023743053898215294,0.19257058285223638,-2854.7177734375
5,ridge,wf,1.5,0.0,in_scope,741221,688678,329864,327242,0.44502786618296025,0.007948730385855989,0.0006271298625506461,-0.005659394897520542,-0.005004541948437691,-0.012494809925556183,0.3184126731898717,-1851.99169921875
